<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.AAPL,D,20000905,000000,31.3281300,32.0625000,31.1250000,31.2187500,0
US1.AAPL,D,20000906,000000,30.6875000,31.1875000,28.8750000,29.2187500,0
US1.AAPL,D,20000907,000000,29.5625000,31.2812500,29.1250000,31.0000000,0
US1.AAPL,D,20000908,000000,30.8125000,30.8125000,29.2500000,29.4375000,0
US1.AAPL,D,20000911,000000,29.3437500,30.1875000,29.0625000,29.2187500,0
US1.AAPL,D,20000912,000000,28.6718800,30.0312500,28.5000000,28.8750000,0
US1.AAPL,D,20000913,000000,28.3750000,29.7500000,28.3750000,29.0000000,0
US1.AAPL,D,20000914,000000,29.2812500,29.8125000,28.4062500,28.4296900,0
US1.AAPL,D,20000915,000000,28.8750000,29.0937500,27.1250000,27.6171900,0
US1.AAPL,D,20000918,000000,27.6250000,30.3750000,27.5312500,30.3281300,0
US1.AAPL,D,20000919,000000,29.8750000,30.2500000,29.2812500,29.9687500,0
US1.AAPL,D,20000920,000000,29.7031300,30.7187500,29.2812500,30.5234400,0
US1.AAPL,D,20000921,000000,29.2500000,29.8125000,27.6250000,28.3437500,0
US1.AAPL,D,20000922,000000,25.1562500,26.2187500,25.0000000,26.0937500,0
US1.AAPL,D,20000925,000000,26.3750000,27.7500000,26.0312500,26.7500000,0
US1.AAPL,D,20000926,000000,26.6562500,27.3750000,25.6875000,25.7187500,0
US1.AAPL,D,20000927,000000,25.8750000,26.3750000,24.1250000,24.4687500,0
US1.AAPL,D,20000928,000000,24.6562500,26.9062500,24.0625000,26.7500000,0
US1.AAPL,D,20000929,000000,14.0937500,14.5000000,12.6875000,12.8750000,0
US1.AAPL,D,20001002,000000,13.3437500,13.3750000,11.7500000,12.1250000,0
US1.AAPL,D,20001003,000000,12.4687500,12.5000000,11.0937500,11.1562500,0
US1.AAPL,D,20001004,000000,11.1875000,11.8750000,10.9375000,11.8125000,0
US1.AAPL,D,20001005,000000,11.7500000,12.2500000,11.0000000,11.0312500,0
US1.AAPL,D,20001006,000000,11.3437500,11.4687500,10.5000000,11.0937500,0
US1.AAPL,D,20001009,000000,11.3125000,11.4375000,10.5625000,10.8750000,0
US1.AAPL,D,20001010,000000,10.8125000,11.2187500,10.2500000,10.4375000,0
US1.AAPL,D,20001011,000000,10.0625000,10.5000000,9.5625000,9.8125000,0
US1.AAPL,D,20001012,000000,10.1562500,10.4062500,9.7500000,10.0000000,0
US1.AAPL,D,20001013,000000,10.1250000,11.0625000,10.0000000,11.0312500,0
US1.AAPL,D,20001016,000000,11.1562500,11.6250000,10.6875000,10.7500000,0
US1.AAPL,D,20001017,000000,10.8437500,10.9687500,9.8437500,10.0625000,0
US1.AAPL,D,20001018,000000,9.7187500,10.5312500,9.3750000,10.0625000,0
US1.AAPL,D,20001019,000000,9.5781300,9.9062500,9.1562500,9.4687500,0
US1.AAPL,D,20001020,000000,9.5312500,10.1875000,9.4687500,9.7500000,0
US1.AAPL,D,20001023,000000,9.7500000,10.2812500,9.7187500,10.1875000,0
US1.AAPL,D,20001024,000000,10.3437500,10.4375000,9.4062500,9.4375000,0
US1.AAPL,D,20001025,000000,9.5312500,9.5937500,9.2187500,9.2500000,0
US1.AAPL,D,20001026,000000,9.4062500,9.4375000,8.7500000,9.2500000,0
US1.AAPL,D,20001027,000000,9.4375000,9.5937500,8.9375000,9.2812500,0
US1.AAPL,D,20001030,000000,9.5625000,9.9687500,9.3750000,9.6562500,0
US1.AAPL,D,20001031,000000,9.8750000,10.1250000,9.6250000,9.7812500,0
US1.AAPL,D,20001101,000000,9.7187500,10.4375000,9.7187500,10.2500000,0
US1.AAPL,D,20001102,000000,10.5625000,11.2187500,10.5312500,11.1562500,0
US1.AAPL,D,20001103,000000,11.5000000,11.5000000,10.9687500,11.1250000,0
US1.AAPL,D,20001106,000000,11.2187500,11.3125000,10.4375000,10.7187500,0
US1.AAPL,D,20001107,000000,10.7500000,10.9062500,10.4062500,10.6562500,0
US1.AAPL,D,20001108,000000,10.6875000,10.7187500,9.9062500,10.0312500,0
US1.AAPL,D,20001109,000000,9.9375000,10.2500000,9.5312500,10.0937500,0
US1.AAPL,D,20001110,000000,9.6796900,9.9375000,9.5312500,9.5312500,0
US1.AAPL,D,20001113,000000,9.3750000,10.0000000,9.1250000,9.6875000,0
US1.AAPL,D,20001114,000000,9.9687500,10.2500000,9.7812500,10.1250000,0
US1.AAPL,D,20001115,000000,10.0156300,10.0937500,9.6250000,9.9375000,0
US1.AAPL,D,20001116,000000,9.7500000,9.9062500,9.4375000,9.5000000,0
US1.AAPL,D,20001117,000000,9.5937500,9.6250000,9.1250000,9.2500000,0
US1.AAPL,D,20001120,000000,9.2968800,9.7500000,9.1250000,9.4687500,0
US1.AAPL,D,20001121,000000,9.5937500,9.7500000,9.3750000,9.4062500,0
US1.AAPL,D,20001122,000000,9.4062500,9.5625000,9.1875000,9.2500000,0
US1.AAPL,D,20001124,000000,9.4296900,9.7500000,9.4062500,9.6562500,0
US1.AAPL,D,20001127,000000,9.9375000,9.9687500,9.2500000,9.3437500,0
US1.AAPL,D,20001128,000000,9.3437500,9.5000000,8.9687500,9.0156300,0
US1.AAPL,D,20001129,000000,9.0468800,9.1562500,8.6250000,8.7812500,0
US1.AAPL,D,20001130,000000,8.3437500,8.5000000,8.0625000,8.2500000,0
US1.AAPL,D,20001201,000000,8.5000000,8.7500000,8.4062500,8.5312500,0
US1.AAPL,D,20001204,000000,8.5937500,8.5937500,8.2187500,8.3437500,0
US1.AAPL,D,20001205,000000,8.4687500,8.7187500,8.1875000,8.5000000,0
US1.AAPL,D,20001206,000000,7.3125000,7.5000000,7.0000000,7.1562500,0
US1.AAPL,D,20001207,000000,7.2187500,7.4375000,7.0000000,7.1562500,0
US1.AAPL,D,20001208,000000,7.4062500,7.6562500,7.2187500,7.5312500,0
US1.AAPL,D,20001211,000000,7.5937500,7.6875000,7.4375000,7.5937500,0
US1.AAPL,D,20001212,000000,7.6250000,8.0000000,7.5000000,7.6875000,0
US1.AAPL,D,20001213,000000,7.7812500,7.7812500,7.4375000,7.5000000,0
US1.AAPL,D,20001214,000000,7.5156300,7.6250000,7.2187500,7.2187500,0
US1.AAPL,D,20001215,000000,7.2812500,7.3437500,7.0000000,7.0312500,0
