C(t);H(t-1);L(t-1);O(t)
1.2059000;1.2010900;1.1991200;1.1995000
1.2012500;1.2081300;1.1995000;1.2059300
1.2068600;1.2066300;1.2000000;1.2012300
1.2041800;1.2090000;1.2002800;1.2068400
1.2026000;1.2082800;1.2019000;1.2041800
1.2024600;1.2042500;1.2022000;1.2029100
1.1967000;1.2034000;1.2014000;1.2024500
1.1937600;1.2052300;1.1954000;1.1966800
1.1956700;1.1975700;1.1914000;1.1936000
1.2030600;1.2018100;1.1922000;1.1956600
1.2187000;1.2060000;1.1928000;1.2030500
1.2199100;1.2188700;1.2027000;1.2186900
1.2195200;1.2218800;1.2186000;1.2197800
1.2269400;1.2206000;1.2187200;1.2195100
1.2266400;1.2296700;1.2186000;1.2269100
1.2212800;1.2283500;1.2194000;1.2265000
1.2238600;1.2323200;1.2195000;1.2212800
1.2220700;1.2264900;1.2163800;1.2238600
1.2219500;1.2295400;1.2217000;1.2220700
1.2269100;1.2233800;1.2213000;1.2261000
1.2258400;1.2273000;1.2259000;1.2269000
1.2293700;1.2274000;1.2213000;1.2258300
1.2398100;1.2306300;1.2221900;1.2293600
1.2406000;1.2414900;1.2289800;1.2398900
1.2419900;1.2537800;1.2363000;1.2406200
1.2422400;1.2493700;1.2368200;1.2419800
1.2423000;1.2432500;1.2416000;1.2427000
1.2382600;1.2434000;1.2419900;1.2423000
1.2394000;1.2432300;1.2335000;1.2382100
1.2415100;1.2454000;1.2334000;1.2394200
1.2514000;1.2474900;1.2386000;1.2415100
1.2461500;1.2522900;1.2384000;1.2513800
1.2457000;1.2520000;1.2408000;1.2461400
1.2432600;1.2462700;1.2450400;1.2452500
1.2387800;1.2459000;1.2430000;1.2432500
1.2371500;1.2474900;1.2386000;1.2388000
1.2260400;1.2434600;1.2312000;1.2371800
1.2243300;1.2406100;1.2244000;1.2260700
1.2234800;1.2295000;1.2210000;1.2243100
1.2251500;1.2287300;1.2204000;1.2235000
1.2245000;1.2255100;1.2231000;1.2252000
1.2290700;1.2254400;1.2241700;1.2244000
1.2356100;1.2297700;1.2233000;1.2290900
1.2463400;1.2371100;1.2283000;1.2356200
1.2504300;1.2464600;1.2275000;1.2463600
1.2405600;1.2510400;1.2446000;1.2504800
1.2411000;1.2555600;1.2392000;1.2405300
1.2398000;1.2412800;1.2401900;1.2404000
1.2405300;1.2410500;1.2394000;1.2398000
1.2335600;1.2435200;1.2367000;1.2406000
1.2290100;1.2412300;1.2318900;1.2335700
1.2325000;1.2359900;1.2279800;1.2290100
1.2294400;1.2352100;1.2257900;1.2324600
1.2294000;1.2337400;1.2278000;1.2294100
1.2289300;1.2298500;1.2287700;1.2295100
1.2313000;1.2298000;1.2280800;1.2289200
1.2229000;1.2355200;1.2276000;1.2312900
1.2199600;1.2346400;1.2220000;1.2229000
1.2262600;1.2241800;1.2186000;1.2200000
1.2330900;1.2273100;1.2153000;1.2262500
1.2317000;1.2335900;1.2250000;1.2330900
1.2355600;1.2331300;1.2314000;1.2322000
1.2338100;1.2356000;1.2317700;1.2355700
1.2402700;1.2364400;1.2267000;1.2338200
1.2412700;1.2420300;1.2327000;1.2402700
1.2312500;1.2444900;1.2383000;1.2412600
1.2306500;1.2446200;1.2297000;1.2312600
1.2305000;1.2334300;1.2272000;1.2306400
1.2310500;1.2309300;1.2302000;1.2307600
1.2333500;1.2315200;1.2307600;1.2313000
1.2389200;1.2345600;1.2289000;1.2332800
1.2367000;1.2410000;1.2313000;1.2389200
1.2304200;1.2412700;1.2346000;1.2366100
1.2287100;1.2383600;1.2299000;1.2304300
1.2285000;1.2336400;1.2259600;1.2289000
1.2282700;1.2289000;1.2284000;1.2282800
1.2334800;1.2300000;1.2281800;1.2288900
1.2240800;1.2358800;1.2257000;1.2334300
1.2337600;1.2354700;1.2237000;1.2240900
1.2301600;1.2350000;1.2238900;1.2337400
1.2350200;1.2390000;1.2284000;1.2301000
1.2352400;1.2373400;1.2296900;1.2351000
1.2348000;1.2352400;1.2350400;1.2347500
1.2442200;1.2353000;1.2340900;1.2352700
1.2402400;1.2461600;1.2348500;1.2443400
1.2306200;1.2476500;1.2371000;1.2402200
1.2300600;1.2421600;1.2298000;1.2307000
1.2319000;1.2335600;1.2282000;1.2300200
1.2323000;1.2330600;1.2287300;1.2323000
1.2320200;1.2323000;1.2323000;1.2321000
1.2301000;1.2330000;1.2319500;1.2325400
1.2269800;1.2345000;1.2280000;1.2301500
1.2277600;1.2336400;1.2252000;1.2269000
1.2239000;1.2314900;1.2255000;1.2277700
1.2278800;1.2290300;1.2217000;1.2239000
1.2282500;1.2291000;1.2214000;1.2281000
1.2285000;1.2282500;1.2278700;1.2278000
1.2320300;1.2287100;1.2274800;1.2283800
1.2355200;1.2330800;1.2259000;1.2319400
1.2366600;1.2377600;1.2301000;1.2354400
1.2325000;1.2396400;1.2346000;1.2365600
1.2328200;1.2379800;1.2298000;1.2325100
1.2328300;1.2346000;1.2306000;1.2328300
1.2331300;1.2328300;1.2328300;1.2327300
1.2378900;1.2337000;1.2326000;1.2329300
1.2368700;1.2394600;1.2321300;1.2378300
1.2373500;1.2413700;1.2335000;1.2368700
1.2344700;1.2397200;1.2341000;1.2372900
1.2287000;1.2400300;1.2328000;1.2345300
1.2286400;1.2353000;1.2249000;1.2285300
1.2271100;1.2286400;1.2285000;1.2286300
1.2208300;1.2286500;1.2263000;1.2271600
1.2231900;1.2290000;1.2196000;1.2208300
1.2160000;1.2244900;1.2180000;1.2231100
1.2103200;1.2238800;1.2158000;1.2159800
1.2128900;1.2210000;1.2093000;1.2102900
1.2125000;1.2133000;1.2053000;1.2128000
1.2121800;1.2128100;1.2125000;1.2124700
1.2077200;1.2130400;1.2119000;1.2128300
1.1991500;1.2140000;1.2062000;1.2076800
1.1950300;1.2084200;1.1979000;1.1992400
1.1988000;1.2031700;1.1936000;1.1949900
1.1958500;1.2010000;1.1946000;1.1987400
1.1956000;1.1995600;1.1909000;1.1951800
1.1922000;1.1966000;1.1945500;1.1963000
1.1863900;1.1978000;1.1896000;1.1921500
1.1849800;1.1938800;1.1837000;1.1863900
1.1914900;1.1897000;1.1821000;1.1850100
1.1938900;1.1946700;1.1841900;1.1914900
1.1941500;1.1970000;1.1890000;1.1942000
1.1940000;1.1942000;1.1941500;1.1943900
1.1926100;1.1950000;1.1936800;1.1937000
1.1837100;1.1996100;1.1924000;1.1926000
1.1806800;1.1940000;1.1819000;1.1837200
1.1793100;1.1854200;1.1762000;1.1806300
1.1772000;1.1837400;1.1775000;1.1793100
1.1769900;1.1822100;1.1749000;1.1768400
1.1770500;1.1769900;1.1767900;1.1760000
1.1790800;1.1779000;1.1760000;1.1767900
1.1778300;1.1795600;1.1715000;1.1791100
1.1694800;1.1830000;1.1755000;1.1777600
1.1719200;1.1789700;1.1674000;1.1694900
1.1645000;1.1750300;1.1689000;1.1719300
1.1650000;1.1733600;1.1644000;1.1649000
1.1684500;1.1650000;1.1649000;1.1654200
1.1623700;1.1688000;1.1647800;1.1686000
1.1538700;1.1730000;1.1605000;1.1623400
1.1663500;1.1640000;1.1509000;1.1539200
1.1690100;1.1676300;1.1517000;1.1661200
1.1657100;1.1724300;1.1640000;1.1690100
1.1658800;1.1718000;1.1616100;1.1658000
1.1659000;1.1658800;1.1658000;1.1654000
1.1697700;1.1661600;1.1651000;1.1658900
1.1716800;1.1744500;1.1655400;1.1697000
1.1773500;1.1732100;1.1651000;1.1716200
1.1797700;1.1795700;1.1709000;1.1773200
1.1769000;1.1840000;1.1771000;1.1798100
1.1767700;1.1810300;1.1725000;1.1767000
1.1774000;1.1767700;1.1767000;1.1764000
1.1782100;1.1777300;1.1751900;1.1772300
1.1744200;1.1820600;1.1770000;1.1782000
1.1790800;1.1810000;1.1732000;1.1744500
1.1566500;1.1801000;1.1724800;1.1790800
1.1609000;1.1851800;1.1562000;1.1565600
1.1609000;1.1627000;1.1542000;1.1609000
1.1586000;1.1609000;1.1609000;1.1606000
1.1622200;1.1610000;1.1583000;1.1587500
1.1586900;1.1624400;1.1564000;1.1622200
1.1570200;1.1644500;1.1529800;1.1586900
1.1602600;1.1600000;1.1536000;1.1570300
1.1654000;1.1633500;1.1507000;1.1603200
